ProtocolVersion,DebateId,TopicId,FocalCandidate,OpponentCandidate,FocalModel,OpponentModel,FocalPosition,FocalStarted,InterventionDirection,FocalWordsOriginal,OpponentWords,RelativeLengthGap,TargetWords,PresentationOrder,SourceSha256
2026-09-04-exp2b-report-v1,109,digital_media_ownership,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,692,457,0.339595,457,focal_second,6695cd2f6340cf9b9c9d9dd9c42f2cf791150f89ca6e7ea21a9a670ba3661ba1
2026-09-04-exp2b-report-v1,112,digital_media_ownership,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,665,488,0.266165,488,focal_second,d542339373772b6b3dbbf10251fca984758eeaf1743b5c43e94c853a497690d1
2026-09-04-exp2b-report-v1,116,digital_media_ownership,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,B,true,expansion,479,605,0.208264,605,focal_second,fca2383eeea62c37983523ca773c5057cabe03eb3df5143e734fd3e53ab26435
2026-09-04-exp2b-report-v1,118,digital_media_ownership,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,true,expansion,590,680,0.132353,680,focal_second,bbecf13a24e436551f400c34f18c2bc8b48b152e3280abec04e5509b218c162d
2026-09-04-exp2b-report-v1,120,digital_media_ownership,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,false,compression,724,661,0.087017,661,focal_second,61143329f51731de93a9aaca56020f33dca6f31e04f1a4328b532d03023dcaaf
2026-09-04-exp2b-report-v1,123,economic_safety_net,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,false,compression,639,452,0.292645,452,focal_second,e553116068a55a538d40b77d59449c16c46b63696350482782cbc00e43e24f70
2026-09-04-exp2b-report-v1,124,economic_safety_net,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,true,compression,667,587,0.119940,587,focal_first,033ec09018454fa4f8217285fc653f0cdbdbae6516219bf7d39ab41e88320b20
2026-09-04-exp2b-report-v1,130,economic_safety_net,Model2,Model1,gemma-4-31b-it,apertus-70b-instruct-2509,B,true,compression,679,620,0.086892,620,focal_second,24ecde27d731cc0f019847f6c4ed97d40b2eccbdc9163e93608f8f87df9ad513
2026-09-04-exp2b-report-v1,132,economic_safety_net,Model2,Model1,gemma-4-31b-it,apertus-70b-instruct-2509,A,false,expansion,649,694,0.064841,694,focal_first,ccf0bc891e447592fd2e833c823ee51b3ae5f28729e35056813a3078e695a779
2026-09-04-exp2b-report-v1,134,economic_safety_net,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,653,612,0.062787,612,focal_second,9c8d4f2e6c93c155888edf2e5b5120ad8a7364de2dd1259d9572f019046e464c
2026-09-04-exp2b-report-v1,135,economic_safety_net,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,true,compression,655,554,0.154198,554,focal_second,e2c83045ba0792f1376502beba130a22038f314d5a0d76274cb23b95a2fbdaf7
2026-09-04-exp2b-report-v1,138,economic_safety_net,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,A,false,expansion,529,625,0.153600,625,focal_second,7b594b549d360e6ee117323b6bcbb0e390d22a7ae744554c467108c7005af56a
2026-09-04-exp2b-report-v1,139,economic_safety_net,Model1,Model2,gemma-4-31b-it,meta-llama-3.1-8b-instruct,A,true,expansion,641,694,0.076369,694,focal_second,2aeb4f44eeab97f5c73ed870dd96a05a027abcdd76a0a635e06b6bbe019498b1
2026-09-04-exp2b-report-v1,142,economic_safety_net,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,true,expansion,655,715,0.083916,715,focal_first,f0e82338b1694f61f40ff1f5f8c9a56e38505e2001db04e1f09e450955ea985d
2026-09-04-exp2b-report-v1,143,economic_safety_net,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,true,expansion,619,713,0.131837,713,focal_first,420a383f3900afb979c43e006c20a4963dbf06fd7d0abb9f48212620d2b74902
2026-09-04-exp2b-report-v1,146,energy_transition_infrastructure,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,false,compression,685,578,0.156204,578,focal_first,25b6cb29d0f2e4413de7a55016291e94df0c2e8d297d934dbede5892d4f26e33
2026-09-04-exp2b-report-v1,147,energy_transition_infrastructure,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,false,compression,672,424,0.369048,424,focal_first,e1afc7031eb5e6456a9ed3f4ef75396e50fb86999ddfdba7b62c21528631e990
2026-09-04-exp2b-report-v1,148,energy_transition_infrastructure,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,A,false,expansion,511,678,0.246313,678,focal_second,182001f4e5121fcd315863dbe1b8f24c063fc87c921c3d0b237519357153a7c3
2026-09-04-exp2b-report-v1,157,energy_transition_infrastructure,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,693,489,0.294372,489,focal_second,4cf3a6ecbd8e6bbb3d7b32ffd3ec9a67a250ec2de7a04803c0430bb4db0564d5
2026-09-04-exp2b-report-v1,158,energy_transition_infrastructure,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,622,525,0.155949,525,focal_first,3b39b98fc827b5e8c007dbba0aa4ed7bc8add360153eceb17966f4b927effa6f
2026-09-04-exp2b-report-v1,159,energy_transition_infrastructure,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,false,expansion,449,639,0.297340,639,focal_first,7dcc6678c7052ec0178e0420adb69eca0b79c5e540c143cad5cd6840973af27b
2026-09-04-exp2b-report-v1,161,energy_transition_infrastructure,Model1,Model2,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,false,compression,562,503,0.104982,503,focal_second,775562cdbbe11da2c2a8473e03accff1a8fcdb68e55891569ea282762d4cc91c
2026-09-04-exp2b-report-v1,162,energy_transition_infrastructure,Model1,Model2,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,true,expansion,552,641,0.138846,641,focal_second,092b840b1988c2f1dcba50f48707342efda5c93757f626ef52f512769a82105b
2026-09-04-exp2b-report-v1,166,energy_transition_infrastructure,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,true,expansion,571,659,0.133536,659,focal_second,eaded794a32cc3542a410e8f38119809e16c18aedd205760684414be46e75f8b
2026-09-04-exp2b-report-v1,167,energy_transition_infrastructure,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,true,expansion,604,674,0.103858,674,focal_first,b761b156912225a01d8114d958865ac537e951d738e42b454cc13c03b2edc2ea
2026-09-04-exp2b-report-v1,170,exploration_priority,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,false,compression,661,541,0.181543,541,focal_first,8022520bd329b4fd97d857e5e6a1faa9ab6339bf2ac063cc19303df106264e42
2026-09-04-exp2b-report-v1,172,exploration_priority,Model2,Model1,meta-llama-3.1-8b-instruct,apertus-70b-instruct-2509,A,false,expansion,465,657,0.292237,657,focal_second,9f0e361a57046f1f542bacee50dc26f2d44498a486d1c4dfcdbe8fc55ca3f491
2026-09-04-exp2b-report-v1,174,exploration_priority,Model1,Model2,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,false,compression,718,632,0.119777,632,focal_first,2e2ff4df33893512d76f8f8e8b9334db1606df5269b9f25c52cc9ca90604c6c5
2026-09-04-exp2b-report-v1,178,exploration_priority,Model2,Model1,gemma-4-31b-it,apertus-70b-instruct-2509,B,true,expansion,604,651,0.072197,651,focal_second,6dba32e93b764fcd35a20378e52ba83ad9f82a8b4ab95fc5f81754b7333eab1e
2026-09-04-exp2b-report-v1,181,exploration_priority,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,681,579,0.149780,579,focal_first,22d3906d2b8d37da030509bbdf714220e853437dff4609e2b268410f988da146
2026-09-04-exp2b-report-v1,183,exploration_priority,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,true,compression,646,535,0.171827,535,focal_second,0e1fe6c418f212bee105f564aa7aff2b02d40f92b62ab656ae0549a48de5dd5a
2026-09-04-exp2b-report-v1,184,exploration_priority,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,594,437,0.264310,437,focal_first,26370ce6a5f6689a7a094dc17036a6fb50c2f892d4dff6ca0a3de9c19271a214
2026-09-04-exp2b-report-v1,186,exploration_priority,Model1,Model2,gemma-4-31b-it,meta-llama-3.1-8b-instruct,B,true,expansion,603,649,0.070878,649,focal_first,7ad659081dc9c73804e9cb40a6958a310331db2249ea450fb694b4473d31169a
2026-09-04-exp2b-report-v1,189,exploration_priority,Model2,Model1,qwen3-30b-a3b-instruct-2507,gemma-4-31b-it,A,true,expansion,580,623,0.069021,623,focal_second,75ab4d16298922250755f86d705c7aab02162c03f41753bdbdfde9663b7ee0e8
2026-09-04-exp2b-report-v1,190,exploration_priority,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,true,expansion,628,691,0.091172,691,focal_second,ea8a7e17450d550626d73bcde23faefaaa4ff796c0e456e69580fdb8391ad035
2026-09-04-exp2b-report-v1,194,mega_event_hosting,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,false,compression,647,539,0.166924,539,focal_first,8a2fa3dd074e530e4b1c36e5dd72f90b65ad650fdf93285743b444a53751b4a1
2026-09-04-exp2b-report-v1,195,mega_event_hosting,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,false,compression,634,493,0.222397,493,focal_first,98d5ab62dd0ee46583e424570152fd095fc9953b2672bfdc4961a569f8b5e8a4
2026-09-04-exp2b-report-v1,196,mega_event_hosting,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,true,compression,646,560,0.133127,560,focal_first,c7a07392431cb6a88bc7ad56a592703ac512620354e91cfa3c6e9f9a46637903
2026-09-04-exp2b-report-v1,205,mega_event_hosting,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,673,575,0.145617,575,focal_first,cc6cc57ea2892c3a34d3808bfb8a8e2017228ce0fa6b3fa14e2b1af6bdcb9aeb
2026-09-04-exp2b-report-v1,206,mega_event_hosting,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,false,expansion,396,573,0.308901,573,focal_first,d524b7a43629d0ad1af7cee824ef66bd3c2d9a14852cfda959114b0adf3c56a4
